komentar;cleaning;tokenize
Bagus namun belum bersih pantainya, kalau saja dirawat dan dibersihkan akan sangat amat indah;Bagus namun belum bersih pantainya kalau saja dirawat dan dibersihkan akan sangat amat indah;['bagus', 'namun', 'belum', 'bersih', 'pantainya', 'kalau', 'saja', 'dirawat', 'dan', 'dibersihkan', 'akan', 'sangat', 'amat', 'indah']
Tempatnya bagus bnget.... alternatif liburan sekolah, bersama keluarga;Tempatnya bagus bnget alternatif liburan sekolah bersama keluarga;['tempatnya', 'bagus', 'bnget', 'alternatif', 'liburan', 'sekolah', 'bersama', 'keluarga']
Pemandangan indah, ada warung makan dengan andalan sea food yang maknyus;Pemandangan indah ada warung makan dengan andalan sea food yang maknyus;['pemandangan', 'indah', 'ada', 'warung', 'makan', 'dengan', 'andalan', 'sea', 'food', 'yang', 'maknyus']
Lumayan buat healing tipis2 dg budget yg murah;Lumayan buat healing tipis dg budget yg murah;['lumayan', 'buat', 'healing', 'tipis', 'dg', 'budget', 'yg', 'murah']
Air terjun Bagus Saluran Langsung masuk ke laut;Air terjun Bagus Saluran Langsung masuk ke laut;['air', 'terjun', 'bagus', 'saluran', 'langsung', 'masuk', 'ke', 'laut']
"Pemandangan bagus
Tempat nyaman";Pemandangan bagus Tempat nyaman;['pemandangan', 'bagus', 'tempat', 'nyaman']
Bagus & lumayan bersih;Bagus lumayan bersih;['bagus', 'lumayan', 'bersih']
Ciptaan TUHAN..Sangat bagus;Ciptaan TUHANSangat bagus;['ciptaan', 'tuhansangat', 'bagus']
keren, dan bafus banget;keren dan bafus banget;['keren', 'dan', 'bafus', 'banget']
Lokasi yang indah namun jika Anda pergi ke hulu polusi menghilangkan keindahan air terjun.;Lokasi yang indah namun jika Anda pergi ke hulu polusi menghilangkan keindahan air terjun;['lokasi', 'yang', 'indah', 'namun', 'jika', 'anda', 'pergi', 'ke', 'hulu', 'polusi', 'menghilangkan', 'keindahan', 'air', 'terjun']
Tempat yang damai dan indah! Waktu terbaik untuk pergi ke sini adalah matahari terbenam (yang sayangnya,;Tempat yang damai dan indah Waktu terbaik untuk pergi ke sini adalah matahari terbenam yang sayangnya;['tempat', 'yang', 'damai', 'dan', 'indah', 'waktu', 'terbaik', 'untuk', 'pergi', 'ke', 'sini', 'adalah', 'matahari', 'terbenam', 'yang', 'sayangnya']
Masya Allah, ciptaan Tuhan itu indah, sayang sekali jika tidak dinikmati;Masya Allah ciptaan Tuhan itu indah sayang sekali jika tidak dinikmati;['masya', 'allah', 'ciptaan', 'tuhan', 'itu', 'indah', 'sayang', 'sekali', 'jika', 'tidak', 'dinikmati']
Sangat sejuk berrasa dibawah air terjun dengam air sungai yg bercampur dengan air laut yg begitu bening;Sangat sejuk berrasa dibawah air terjun dengam air sungai yg bercampur dengan air laut yg begitu bening;['sangat', 'sejuk', 'berrasa', 'dibawah', 'air', 'terjun', 'dengam', 'air', 'sungai', 'yg', 'bercampur', 'dengan', 'air', 'laut', 'yg', 'begitu', 'bening']
Tempat yang satu ini tergolong unik dan menarik buat dikunjungi, karena air terjunnya langsung tumpah dan menyatu dengan laut. Aliran air terjunnya berasal dari hulu sungai yang berada diatas air terjun.;Tempat yang satu ini tergolong unik dan menarik buat dikunjungi karena air terjunnya langsung tumpah dan menyatu dengan laut Aliran air terjunnya berasal dari hulu sungai yang berada diatas air terjun;['tempat', 'yang', 'satu', 'ini', 'tergolong', 'unik', 'dan', 'menarik', 'buat', 'dikunjungi', 'karena', 'air', 'terjunnya', 'langsung', 'tumpah', 'dan', 'menyatu', 'dengan', 'laut', 'aliran', 'air', 'terjunnya', 'berasal', 'dari', 'hulu', 'sungai', 'yang', 'berada', 'diatas', 'air', 'terjun']
area parkir cukup, air bersih, fasilitas cukup memadai..;area parkir cukup air bersih fasilitas cukup memadai;['area', 'parkir', 'cukup', 'air', 'bersih', 'fasilitas', 'cukup', 'memadai']
Terhibur ada restorant menyediakan karaoke segala;Terhibur ada restorant menyediakan karaoke segala;['terhibur', 'ada', 'restorant', 'menyediakan', 'karaoke', 'segala']
Ceritanya singkat tapi kenangannya begitu mengikat;Ceritanya singkat tapi kenangannya begitu mengikat;['ceritanya', 'singkat', 'tapi', 'kenangannya', 'begitu', 'mengikat']
Sumpah ini pengalaman terbaik;Sumpah ini pengalaman terbaik;['sumpah', 'ini', 'pengalaman', 'terbaik']
Bagus;Bagus;['bagus']
Sangat sangat keren;Sangat sangat keren;['sangat', 'sangat', 'keren']
Air terjun yang menakjubkan;Air terjun yang menakjubkan;['air', 'terjun', 'yang', 'menakjubkan']
Keren banget sih, saya kesini waktu sore jadi hasil fotonya keren. Masuk cuma bayar parkir aja kok. Buat ke air terjunnya juga dekat, turun sedikit aja dari parkiran. Di dekat parkiran juga terdapat penjual makanan dan minuman lesehan yang langsung view ke arah pantainya;Keren banget sih saya kesini waktu sore jadi hasil fotonya keren Masuk cuma bayar parkir aja kok Buat ke air terjunnya juga dekat turun sedikit aja dari parkiran Di dekat parkiran juga terdapat penjual makanan dan minuman lesehan yang langsung view ke arah pantainya;['keren', 'banget', 'sih', 'saya', 'kesini', 'waktu', 'sore', 'jadi', 'hasil', 'fotonya', 'keren', 'masuk', 'cuma', 'bayar', 'parkir', 'aja', 'kok', 'buat', 'ke', 'air', 'terjunnya', 'juga', 'dekat', 'turun', 'sedikit', 'aja', 'dari', 'parkiran', 'di', 'dekat', 'parkiran', 'juga', 'terdapat', 'penjual', 'makanan', 'dan', 'minuman', 'lesehan', 'yang', 'langsung', 'view', 'ke', 'arah', 'pantainya']
Tempat sngat strategis, tepat di sebelah jalan raya, pemandangan sangat bagus, apalagi ketika pagi dan sore, ditambah dengan desain cafe yg sangat cantik serta dinding tangga yang cerah2;Tempat sngat strategis tepat di sebelah jalan raya pemandangan sangat bagus apalagi ketika pagi dan sore ditambah dengan desain cafe yg sangat cantik serta dinding tangga yang cerah;['tempat', 'sngat', 'strategis', 'tepat', 'di', 'sebelah', 'jalan', 'raya', 'pemandangan', 'sangat', 'bagus', 'apalagi', 'ketika', 'pagi', 'dan', 'sore', 'ditambah', 'dengan', 'desain', 'cafe', 'yg', 'sangat', 'cantik', 'serta', 'dinding', 'tangga', 'yang', 'cerah']
Tdk rugi dtg ke tempat ini .... jalan nya enak, gak terlalu jauh .... akses masuk ke air terjun sangat dekat .... jalannya enak .... air terjun bagus .....;Tdk rugi dtg ke tempat ini jalan nya enak gak terlalu jauh akses masuk ke air terjun sangat dekat jalannya enak air terjun bagus;['tdk', 'rugi', 'dtg', 'ke', 'tempat', 'ini', 'jalan', 'nya', 'enak', 'gak', 'terlalu', 'jauh', 'akses', 'masuk', 'ke', 'air', 'terjun', 'sangat', 'dekat', 'jalannya', 'enak', 'air', 'terjun', 'bagus']
Wisata asik... sederhana.. bagus buat selfi dan foto...harga tiket masuk cuman 3000;Wisata asik sederhana bagus buat selfi dan fotoharga tiket masuk cuman;['wisata', 'asik', 'sederhana', 'bagus', 'buat', 'selfi', 'dan', 'fotoharga', 'tiket', 'masuk', 'cuman']
Lokasi ini cocok bangrt buat berlibur bagi keluarga dan spot yang bagus untuk mengabadikan momen senja..silahkan follow ig saya @onezliano bonus follback ?? …;Lokasi ini cocok bangrt buat berlibur bagi keluarga dan spot yang bagus untuk mengabadikan momen senjasilahkan follow ig saya bonus follback;['lokasi', 'ini', 'cocok', 'bangrt', 'buat', 'berlibur', 'bagi', 'keluarga', 'dan', 'spot', 'yang', 'bagus', 'untuk', 'mengabadikan', 'momen', 'senjasilahkan', 'follow', 'ig', 'saya', 'bonus', 'follback']
Pantai bagus,ada tempat makan,ada air terjun menuju laut;Pantai bagusada tempat makanada air terjun menuju laut;['pantai', 'bagusada', 'tempat', 'makanada', 'air', 'terjun', 'menuju', 'laut']
Lumayan bagus lokasi wisatanya..;Lumayan bagus lokasi wisatanya;['lumayan', 'bagus', 'lokasi', 'wisatanya']
Air nya hijau ke biruan bagus... jangan sampe dikotori ya... supaya tetep bagus;Air nya hijau ke biruan bagus jangan sampe dikotori ya supaya tetep bagus;['air', 'nya', 'hijau', 'ke', 'biruan', 'bagus', 'jangan', 'sampe', 'dikotori', 'ya', 'supaya', 'tetep', 'bagus']
bagus potensi alamnya tapi pengololaannya belum maksimal mungkin dikarenakan masih berbasis mandiri;bagus potensi alamnya tapi pengololaannya belum maksimal mungkin dikarenakan masih berbasis mandiri;['bagus', 'potensi', 'alamnya', 'tapi', 'pengololaannya', 'belum', 'maksimal', 'mungkin', 'dikarenakan', 'masih', 'berbasis', 'mandiri']
Bagus.... Hanya kebersihan kurang terawat;Bagus Hanya kebersihan kurang terawat;['bagus', 'hanya', 'kebersihan', 'kurang', 'terawat']
Bagus sih... cuman kurang terawat. Mungkin karena air terjun langsung ke laut itu kali ya.. jadi sensasi bermain air di bawah percikan air terjun nya gak ada sama sekali. Jadi cukup bintang 4 aja ya.;Bagus sih cuman kurang terawat Mungkin karena air terjun langsung ke laut itu kali ya jadi sensasi bermain air di bawah percikan air terjun nya gak ada sama sekali Jadi cukup bintang aja ya;['bagus', 'sih', 'cuman', 'kurang', 'terawat', 'mungkin', 'karena', 'air', 'terjun', 'langsung', 'ke', 'laut', 'itu', 'kali', 'ya', 'jadi', 'sensasi', 'bermain', 'air', 'di', 'bawah', 'percikan', 'air', 'terjun', 'nya', 'gak', 'ada', 'sama', 'sekali', 'jadi', 'cukup', 'bintang', 'aja', 'ya']
Air terjun toroan adalah air terjun yg langsung bertemu dengan pantai seandainya penambangan pasir tidak dilakukan pantai toroan dan airterjun nya akan menjadi pariwisata paling bagus di pulau madura tapi sayang kita harus melihat air terjun dan pantai yg sudah habis pasirnya waktu saya sd saya akui pantai toroan paling bagus;Air terjun toroan adalah air terjun yg langsung bertemu dengan pantai seandainya penambangan pasir tidak dilakukan pantai toroan dan airterjun nya akan menjadi pariwisata paling bagus di pulau madura tapi sayang kita harus melihat air terjun dan pantai yg sudah habis pasirnya waktu saya sd saya akui pantai toroan paling bagus;['air', 'terjun', 'toroan', 'adalah', 'air', 'terjun', 'yg', 'langsung', 'bertemu', 'dengan', 'pantai', 'seandainya', 'penambangan', 'pasir', 'tidak', 'dilakukan', 'pantai', 'toroan', 'dan', 'airterjun', 'nya', 'akan', 'menjadi', 'pariwisata', 'paling', 'bagus', 'di', 'pulau', 'madura', 'tapi', 'sayang', 'kita', 'harus', 'melihat', 'air', 'terjun', 'dan', 'pantai', 'yg', 'sudah', 'habis', 'pasirnya', 'waktu', 'saya', 'sd', 'saya', 'akui', 'pantai', 'toroan', 'paling', 'bagus']
"Wisata alam yg bener"" bagus , terasa didlm gua yg terdapat air terjun yg lsg turun di dasar laut , sungguh pemandangan yg sangat bagus ?????? …";Wisata alam yg bener bagus terasa didlm gua yg terdapat air terjun yg lsg turun di dasar laut sungguh pemandangan yg sangat bagus;['wisata', 'alam', 'yg', 'bener', 'bagus', 'terasa', 'didlm', 'gua', 'yg', 'terdapat', 'air', 'terjun', 'yg', 'lsg', 'turun', 'di', 'dasar', 'laut', 'sungguh', 'pemandangan', 'yg', 'sangat', 'bagus']
Bagus dan bersih;Bagus dan bersih;['bagus', 'dan', 'bersih']
Tempat wisata yg bagus dan masih alami perlu sedikit lagi sentuhan agar lebih menarik wisatawan;Tempat wisata yg bagus dan masih alami perlu sedikit lagi sentuhan agar lebih menarik wisatawan;['tempat', 'wisata', 'yg', 'bagus', 'dan', 'masih', 'alami', 'perlu', 'sedikit', 'lagi', 'sentuhan', 'agar', 'lebih', 'menarik', 'wisatawan']
Tempatnya lumayan bagus, cocok banget untuk foto long exposure, rekomendasi waktu terbaik yaitu sore;Tempatnya lumayan bagus cocok banget untuk foto long exposure rekomendasi waktu terbaik yaitu sore;['tempatnya', 'lumayan', 'bagus', 'cocok', 'banget', 'untuk', 'foto', 'long', 'exposure', 'rekomendasi', 'waktu', 'terbaik', 'yaitu', 'sore']
Tempat yg amat sangat indah dan nyaman ....saudaraku hayo berkunjung tempat ini biaya masuk dan parkir murah meriah;Tempat yg amat sangat indah dan nyaman saudaraku hayo berkunjung tempat ini biaya masuk dan parkir murah meriah;['tempat', 'yg', 'amat', 'sangat', 'indah', 'dan', 'nyaman', 'saudaraku', 'hayo', 'berkunjung', 'tempat', 'ini', 'biaya', 'masuk', 'dan', 'parkir', 'murah', 'meriah']
"Air terjun yg menghadap langsung ke Laut....view sunset nya indah sekali
Cek ig kita @tbagusw";Air terjun yg menghadap langsung ke Lautview sunset nya indah sekali Cek ig kita;['air', 'terjun', 'yg', 'menghadap', 'langsung', 'ke', 'lautview', 'sunset', 'nya', 'indah', 'sekali', 'cek', 'ig', 'kita']
Lumayan bagus air terjunnya.mau musim hujan atau kemarau airnya ttp ada;Lumayan bagus air terjunnyamau musim hujan atau kemarau airnya ttp ada;['lumayan', 'bagus', 'air', 'terjunnyamau', 'musim', 'hujan', 'atau', 'kemarau', 'airnya', 'ttp', 'ada']
Ini air terjun paling bagus, keren banget.. Cocok banget buat ngilangin penat;Ini air terjun paling bagus keren banget Cocok banget buat ngilangin penat;['ini', 'air', 'terjun', 'paling', 'bagus', 'keren', 'banget', 'cocok', 'banget', 'buat', 'ngilangin', 'penat']
Suasana alamnya sangat indah karena merupakan perpaduan antara air terjun dengan laut;Suasana alamnya sangat indah karena merupakan perpaduan antara air terjun dengan laut;['suasana', 'alamnya', 'sangat', 'indah', 'karena', 'merupakan', 'perpaduan', 'antara', 'air', 'terjun', 'dengan', 'laut']
Tempat rekreasi di madura dekat pinggir laut tapi ada air terjunya, masih natural, bagus untuk keluarga;Tempat rekreasi di madura dekat pinggir laut tapi ada air terjunya masih natural bagus untuk keluarga;['tempat', 'rekreasi', 'di', 'madura', 'dekat', 'pinggir', 'laut', 'tapi', 'ada', 'air', 'terjunya', 'masih', 'natural', 'bagus', 'untuk', 'keluarga']
Tempat berlibur yg menyenangkan untuk pasangan dan keluarga dan meikmati air terjun.... yg indah;Tempat berlibur yg menyenangkan untuk pasangan dan keluarga dan meikmati air terjun yg indah;['tempat', 'berlibur', 'yg', 'menyenangkan', 'untuk', 'pasangan', 'dan', 'keluarga', 'dan', 'meikmati', 'air', 'terjun', 'yg', 'indah']
Bagus tempatnya.... pinter2 ambil spot foto aja...;Bagus tempatnya pinter ambil spot foto aja;['bagus', 'tempatnya', 'pinter', 'ambil', 'spot', 'foto', 'aja']
Pemandangan bagus dan ada tempat makannya cukup enak..;Pemandangan bagus dan ada tempat makannya cukup enak;['pemandangan', 'bagus', 'dan', 'ada', 'tempat', 'makannya', 'cukup', 'enak']
Air Terjun Toroan berada di Ketapang Sampang Madura. Bagus banget pemandangan nya;Air Terjun Toroan berada di Ketapang Sampang Madura Bagus banget pemandangan nya;['air', 'terjun', 'toroan', 'berada', 'di', 'ketapang', 'sampang', 'madura', 'bagus', 'banget', 'pemandangan', 'nya']
Lumayan bagus.....;Lumayan bagus;['lumayan', 'bagus']
Bagus, yg pasti tempatnya sejuk dong;Bagus yg pasti tempatnya sejuk dong;['bagus', 'yg', 'pasti', 'tempatnya', 'sejuk', 'dong']
Bagus sih cuma kurangnya sarana yg mendukung;Bagus sih cuma kurangnya sarana yg mendukung;['bagus', 'sih', 'cuma', 'kurangnya', 'sarana', 'yg', 'mendukung']
Pemandangan yg menghipnotis mata akan keindahan alam;Pemandangan yg menghipnotis mata akan keindahan alam;['pemandangan', 'yg', 'menghipnotis', 'mata', 'akan', 'keindahan', 'alam']
pemandangan pantai yang indah;pemandangan pantai yang indah;['pemandangan', 'pantai', 'yang', 'indah']
Bagus, lebih bagus lagi kalau dikelola dan dibangun.;Bagus lebih bagus lagi kalau dikelola dan dibangun;['bagus', 'lebih', 'bagus', 'lagi', 'kalau', 'dikelola', 'dan', 'dibangun']
Keren;Keren;['keren']
Kalo sunset kayaknya lebih bagus;Kalo sunset kayaknya lebih bagus;['kalo', 'sunset', 'kayaknya', 'lebih', 'bagus']
Air terjunnya indah sejuk;Air terjunnya indah sejuk;['air', 'terjunnya', 'indah', 'sejuk']
Bagus tapi maaf tidak sempat ambil foto;Bagus tapi maaf tidak sempat ambil foto;['bagus', 'tapi', 'maaf', 'tidak', 'sempat', 'ambil', 'foto']
Indah sekali;Indah sekali;['indah', 'sekali']
Tempatnya bagus buat kesehatan;Tempatnya bagus buat kesehatan;['tempatnya', 'bagus', 'buat', 'kesehatan']
Tempatnya sangat bagus,;Tempatnya sangat bagus;['tempatnya', 'sangat', 'bagus']
Indah;Indah;['indah']
Wisata murah meriah;Wisata murah meriah;['wisata', 'murah', 'meriah']
Bagus udaranya seger;Bagus udaranya seger;['bagus', 'udaranya', 'seger']
Bagus untuk ber wisata;Bagus untuk ber wisata;['bagus', 'untuk', 'ber', 'wisata']
Indah sekali, tidak akan menyesal ?? …;Indah sekali tidak akan menyesal;['indah', 'sekali', 'tidak', 'akan', 'menyesal']
Bagus tempatnya;Bagus tempatnya;['bagus', 'tempatnya']
Bagus oke;Bagus oke;['bagus', 'oke']
Tak sebagus di foto;Tak sebagus di foto;['tak', 'sebagus', 'di', 'foto']
Tdk seindah sprti gambarnya;Tdk seindah sprti gambarnya;['tdk', 'seindah', 'sprti', 'gambarnya']
Bagusnya tdk terduga;Bagusnya tdk terduga;['bagusnya', 'tdk', 'terduga']
Suasanax Indah menyenangkan;Suasanax Indah menyenangkan;['suasanax', 'indah', 'menyenangkan']
Bagus sekali;Bagus sekali;['bagus', 'sekali']
Tempatnya bagus;Tempatnya bagus;['tempatnya', 'bagus']
bagus dan dan minim biaya;bagus dan dan minim biaya;['bagus', 'dan', 'dan', 'minim', 'biaya']
Suasana yang bagus;Suasana yang bagus;['suasana', 'yang', 'bagus']
Keren;Keren;['keren']
Bagus;Bagus;['bagus']
Bagus;Bagus;['bagus']
Bagus;Bagus;['bagus']
Bagus;Bagus;['bagus']
Beberapa tahun yang lalu ketika saya pertama kali mengunjungi tempat ini, itu bagus, semuanya dibuat oleh alam, tetapi hari ini saya melihat peningkatan besar yang menjadikannya lebih baik. Bahkan ada sebuah kafe! Selamat, Sampang!;Beberapa tahun yang lalu ketika saya pertama kali mengunjungi tempat ini itu bagus semuanya dibuat oleh alam tetapi hari ini saya melihat peningkatan besar yang menjadikannya lebih baik Bahkan ada sebuah kafe Selamat Sampang;['beberapa', 'tahun', 'yang', 'lalu', 'ketika', 'saya', 'pertama', 'kali', 'mengunjungi', 'tempat', 'ini', 'itu', 'bagus', 'semuanya', 'dibuat', 'oleh', 'alam', 'tetapi', 'hari', 'ini', 'saya', 'melihat', 'peningkatan', 'besar', 'yang', 'menjadikannya', 'lebih', 'baik', 'bahkan', 'ada', 'sebuah', 'kafe', 'selamat', 'sampang']
"Tampilan yang menarik dan gambar yang indah seolah-olah menggambar dari imajinasi
Tapi itu butuh perawatan, pembersihan, dan penataan
Untuk melengkapi pariwisata";Tampilan yang menarik dan gambar yang indah seolaholah menggambar dari imajinasi Tapi itu butuh perawatan pembersihan dan penataan Untuk melengkapi pariwisata;['tampilan', 'yang', 'menarik', 'dan', 'gambar', 'yang', 'indah', 'seolaholah', 'menggambar', 'dari', 'imajinasi', 'tapi', 'itu', 'butuh', 'perawatan', 'pembersihan', 'dan', 'penataan', 'untuk', 'melengkapi', 'pariwisata']
Bagus...;Bagus;['bagus']
Bagus;Bagus;['bagus']
Pulau Madura ternyata mempunyai obyek wisata air terjun juga, sy pikir Madura hanya mempunyai obyek wisata bukit kapur dan pantai saja. Ternyata Madura mempunyai obyek wisata yang menakjubkan salah satunya adalah air terjun Toroan. …;Pulau Madura ternyata mempunyai obyek wisata air terjun juga sy pikir Madura hanya mempunyai obyek wisata bukit kapur dan pantai saja Ternyata Madura mempunyai obyek wisata yang menakjubkan salah satunya adalah air terjun Toroan;['pulau', 'madura', 'ternyata', 'mempunyai', 'obyek', 'wisata', 'air', 'terjun', 'juga', 'sy', 'pikir', 'madura', 'hanya', 'mempunyai', 'obyek', 'wisata', 'bukit', 'kapur', 'dan', 'pantai', 'saja', 'ternyata', 'madura', 'mempunyai', 'obyek', 'wisata', 'yang', 'menakjubkan', 'salah', 'satunya', 'adalah', 'air', 'terjun', 'toroan']
Dari Sumenep ke air terjun yang berada di utara ini benar2 butuh perjuangan. Melewati hutan2 sepi dan perbukitan serta jalannya banyak lubang. Sampai Ketapang sudah malan dan nginap di spbu karena satu2nya homestay sdh full. Pagi2 ke air …;Dari Sumenep ke air terjun yang berada di utara ini benar butuh perjuangan Melewati hutan sepi dan perbukitan serta jalannya banyak lubang Sampai Ketapang sudah malan dan nginap di spbu karena satunya homestay sdh full Pagi ke air;['dari', 'sumenep', 'ke', 'air', 'terjun', 'yang', 'berada', 'di', 'utara', 'ini', 'benar', 'butuh', 'perjuangan', 'melewati', 'hutan', 'sepi', 'dan', 'perbukitan', 'serta', 'jalannya', 'banyak', 'lubang', 'sampai', 'ketapang', 'sudah', 'malan', 'dan', 'nginap', 'di', 'spbu', 'karena', 'satunya', 'homestay', 'sdh', 'full', 'pagi', 'ke', 'air']
